task,n,epochs,n_eval,max_steps,arm,rank,lr,n_seeds,score_mean,base,ft_mean,G,G_lo,G_hi
facts,250,10.0,250,-1,lora,1,0.0003,1,0.964,0.0,1.0,0.964,0.964,0.964
facts,250,10.0,250,-1,lora,2,0.0003,1,0.98,0.0,1.0,0.98,0.98,0.98
facts,250,10.0,250,-1,lora,4,0.0003,1,0.992,0.0,1.0,0.992,0.992,0.992
facts,250,10.0,250,-1,lora,8,0.0003,1,0.988,0.0,1.0,0.988,0.988,0.988
facts,250,10.0,250,-1,lora,16,0.0003,1,0.98,0.0,1.0,0.98,0.98,0.98
facts,250,10.0,250,-1,lora,64,0.0003,1,0.984,0.0,1.0,0.984,0.984,0.984
facts,250,10.0,250,-1,lora,256,0.0003,1,0.932,0.0,1.0,0.932,0.932,0.932
facts,250,10.0,250,-1,oracle,0,1e-05,1,0.0,0.0,1.0,0.0,0.0,0.0
facts,250,10.0,250,-1,oracle,1,1e-05,1,0.02,0.0,1.0,0.02,0.02,0.02
facts,250,10.0,250,-1,oracle,2,1e-05,1,0.052,0.0,1.0,0.052,0.052,0.052
facts,250,10.0,250,-1,oracle,4,1e-05,1,0.08,0.0,1.0,0.08,0.08,0.08
facts,250,10.0,250,-1,oracle,8,1e-05,1,0.196,0.0,1.0,0.196,0.196,0.196
facts,250,10.0,250,-1,oracle,16,1e-05,1,0.48,0.0,1.0,0.48,0.48,0.48
facts,250,10.0,250,-1,oracle,32,1e-05,1,0.852,0.0,1.0,0.852,0.852,0.852
facts,250,10.0,250,-1,oracle,64,1e-05,1,0.984,0.0,1.0,0.984,0.984,0.984
facts,250,10.0,250,-1,oracle,128,1e-05,1,0.996,0.0,1.0,0.996,0.996,0.996
facts,250,10.0,250,-1,oracle,256,1e-05,1,0.996,0.0,1.0,0.996,0.996,0.996
facts,250,10.0,250,-1,oracle,1024,1e-05,1,0.996,0.0,1.0,0.996,0.996,0.996
facts,1000,10.0,500,-1,lora,1,0.0003,1,1.0,0.0,1.0,1.0,1.0,1.0
facts,1000,10.0,500,-1,lora,2,0.0003,1,0.992,0.0,1.0,0.992,0.992,0.992
facts,1000,10.0,500,-1,lora,4,0.0003,1,1.0,0.0,1.0,1.0,1.0,1.0
facts,1000,10.0,500,-1,lora,8,0.0003,1,1.0,0.0,1.0,1.0,1.0,1.0
facts,1000,10.0,500,-1,lora,16,0.0003,1,0.996,0.0,1.0,0.996,0.996,0.996
facts,1000,10.0,500,-1,lora,64,0.0003,1,0.996,0.0,1.0,0.996,0.996,0.996
facts,1000,10.0,500,-1,lora,256,0.0003,1,0.996,0.0,1.0,0.996,0.996,0.996
facts,1000,10.0,500,-1,oracle,0,1e-05,1,0.0,0.0,1.0,0.0,0.0,0.0
facts,1000,10.0,500,-1,oracle,1,1e-05,1,0.0,0.0,1.0,0.0,0.0,0.0
facts,1000,10.0,500,-1,oracle,2,1e-05,1,0.018,0.0,1.0,0.018,0.018,0.018
facts,1000,10.0,500,-1,oracle,4,1e-05,1,0.058,0.0,1.0,0.058,0.058,0.058
